TIPO,ESTRATO ,CONSUMO JULIO 2020,CONSUMO AGOSTO 2020.,CONSUMO SEPTIEMBRE 2020.,CONSUMO OCTUBRE 2020.,CONSUMO NOVIEM 2020.,CONSUMO DICIEMBRE 2020.,PROMEDIO
RESIDENCIAL,ESTRATO 3,109,9,11,18,11,18,29.33333333
RESIDENCIAL,ESTRATO 3,13,8,16,27,20,13,16.16666667
RESIDENCIAL,ESTRATO 3,13,0,1,27,15,9,10.83333333
RESIDENCIAL,ESTRATO 3,24,16,21,24,19,26,21.66666667
RESIDENCIAL,ESTRATO 4,0,0,0,0,0,0,0
RESIDENCIAL,ESTRATO 3,0,0,0,0,0,0,0
RESIDENCIAL,ESTRATO 4,27,21,21,13,18,15,19.16666667
RESIDENCIAL,ESTRATO 3,0,0,0,1,5,0,1
RESIDENCIAL,ESTRATO 3,33,21,32,35,21,24,27.66666667
RESIDENCIAL,ESTRATO 3,14,6,9,11,8,11,9.833333333
RESIDENCIAL,ESTRATO 3,0,1,1,1,1,1,0.8333333333
RESIDENCIAL,ESTRATO 3,8,4,11,19,16,14,12
RESIDENCIAL,ESTRATO 4,2,2,2,4,4,14,4.666666667
RESIDENCIAL,ESTRATO 4,0,1,1,0,0,0,0.3333333333
RESIDENCIAL,ESTRATO 3,16,19,21,18,21,13,18
RESIDENCIAL,ESTRATO 3,41,33,23,40,32,39,34.66666667
RESIDENCIAL,ESTRATO 3,31,21,31,33,27,34,29.5
RESIDENCIAL,ESTRATO 3,16,11,15,18,9,16,14.16666667
RESIDENCIAL,ESTRATO 3,26,14,22,28,16,8,19
RESIDENCIAL,ESTRATO 3,0,0,1,0,1,3,0.8333333333
RESIDENCIAL,ESTRATO 2,35,25,28,28,23,28,27.83333333
RESIDENCIAL,ESTRATO 2,28,14,15,17,12,20,17.66666667
RESIDENCIAL,ESTRATO 1,16,9,8,11,1,31,12.66666667
RESIDENCIAL,ESTRATO 3,24,15,21,24,18,22,20.66666667
RESIDENCIAL,ESTRATO 3,38,21,28,28,25,24,27.33333333
RESIDENCIAL,ESTRATO 3,2,2,6,7,4,8,4.833333333
RESIDENCIAL,ESTRATO 3,6,5,6,18,9,10,9
RESIDENCIAL,ESTRATO 3,16,12,13,18,16,22,16.16666667
RESIDENCIAL,ESTRATO 3,0,11,2,0,11,17,6.833333333
RESIDENCIAL,ESTRATO 2,1,0,0,0,0,0,0.1666666667
RESIDENCIAL,ESTRATO 3,0,1,13,1,0,1,2.666666667
RESIDENCIAL,ESTRATO 3,7,43,25,28,22,25,25
RESIDENCIAL,ESTRATO 3,12,8,12,16,13,24,14.16666667
RESIDENCIAL,ESTRATO 3,24,14,16,1,17,22,15.66666667
RESIDENCIAL,ESTRATO 2,83,43,57,75,42,32,55.33333333
RESIDENCIAL,ESTRATO 2,1,1,3,3,1,6,2.5
RESIDENCIAL,ESTRATO 2,4,3,4,5,2,6,4
RESIDENCIAL,ESTRATO 2,23,15,17,20,18,21,19
RESIDENCIAL,ESTRATO 2,13,8,10,15,8,11,10.83333333
RESIDENCIAL,ESTRATO 3,42,26,31,33,29,30,31.83333333
RESIDENCIAL,ESTRATO 2,15,15,17,7,7,4,10.83333333
RESIDENCIAL,ESTRATO 2,13,6,10,18,7,21,12.5
RESIDENCIAL,ESTRATO 2,22,11,27,27,15,25,21.16666667
RESIDENCIAL,ESTRATO 2,65,49,58,86,58,76,65.33333333
RESIDENCIAL,ESTRATO 2,20,9,13,15,15,17,14.83333333
RESIDENCIAL,ESTRATO 2,31,18,20,25,12,0,17.66666667
RESIDENCIAL,ESTRATO 1,55,32,36,34,43,14,35.66666667
RESIDENCIAL,ESTRATO 2,14,6,10,11,8,12,10.16666667
RESIDENCIAL,ESTRATO 2,30,36,65,79,0,0,35
RESIDENCIAL,ESTRATO 2,13,11,18,15,8,19,14
RESIDENCIAL,ESTRATO 2,32,20,30,31,13,97,37.16666667
RESIDENCIAL,ESTRATO 2,17,12,18,23,13,16,16.5
RESIDENCIAL,ESTRATO 2,3,1,2,1,4,15,4.333333333
RESIDENCIAL,ESTRATO 2,88,46,63,11,114,66,64.66666667
RESIDENCIAL,ESTRATO 2,6,8,11,4,22,16,11.16666667
RESIDENCIAL,ESTRATO 2,36,24,26,35,27,44,32
RESIDENCIAL,ESTRATO 2,38,28,23,18,16,8,21.83333333
RESIDENCIAL,ESTRATO 2,63,42,58,71,35,94,60.5
